,User,Tweet Data,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
83,BBC News (World),RT @BBCJonSopel: .@realDonaldTrump says in his #NSS speech American one of greatest forces for peace and justice in the world,Mon Dec 18 19:18:02 +0000 2017,0.9022,0.395,0.605,0.0,17
84,BBC News (World),"RT @BBCNorthAmerica: Police are reporting ""multiple"" fatalities after a train carrying more than 78 passengers fell on to a highway in Wash…",Mon Dec 18 19:15:49 +0000 2017,-0.5994,0.0,0.83,0.17,16
85,BBC News (World),Ramaphosa wins https://t.co/L1t4BVsPOs,Mon Dec 18 19:11:40 +0000 2017,0.5719,0.649,0.351,0.0,15
86,BBC News (World),Trump touts 'America First' national security strategy https://t.co/eoXLpKPOyf,Mon Dec 18 18:54:52 +0000 2017,0.3182,0.253,0.632,0.116,14
87,BBC News (World),"RT @BBCBreaking: Amtrak crash latest

• “Multiple” fatalities reported
• 77 people taken to hospital
• Train travelling between Seattle &amp; P…",Mon Dec 18 18:16:22 +0000 2017,-0.765,0.0,0.72,0.28,13
88,BBC News (World),RT @BBCBreaking: Number of passengers killed &amp; dozens injured when Amtrak train falls on to highway near Seattle in Washington State https:…,Mon Dec 18 17:54:44 +0000 2017,-0.7845,0.047,0.691,0.262,12
89,BBC News (World),Cyril Ramaphosa is elected ANC leader https://t.co/ccietkRUsj,Mon Dec 18 17:26:32 +0000 2017,0.0,0.0,1.0,0.0,11
90,BBC News (World),Washington train crash: 'We could feel cars crumpling' https://t.co/rWdI2Y8PML,Mon Dec 18 17:26:32 +0000 2017,-0.4019,0.0,0.748,0.252,10
91,BBC News (World),"RT @BBCBreaking: Train involved in crash in Washington state was travelling at more than 80mph (130kmh), with at least 75 people on board…",Mon Dec 18 17:13:29 +0000 2017,-0.4019,0.0,0.891,0.109,9
92,BBC News (World),Ukraine crisis: Russian truce monitors to leave https://t.co/bSfcGAG4oe,Mon Dec 18 17:04:52 +0000 2017,-0.6486,0.0,0.531,0.469,8
93,BBC News (World),S Africa's ANC picks Ramaphosa as leader https://t.co/erf6PX7mbJ,Mon Dec 18 17:01:15 +0000 2017,0.0,0.0,1.0,0.0,7
94,BBC News (World),Saudi Prince bin Salman 'was mystery buyer' of $320m house https://t.co/1O6B6i3ljq,Mon Dec 18 16:55:07 +0000 2017,0.0,0.0,1.0,0.0,6
95,BBC News (World),RT @nkosi_milton: Bontle Mpakanyane to announce the results! #ANCConference2017 #ANC54,Mon Dec 18 16:55:04 +0000 2017,0.0,0.0,1.0,0.0,5
